ids,Datasets,attr_conc.mean,attr_conc.sd,attr_ent.mean,attr_ent.sd,class_conc.mean,class_conc.sd,class_ent,eq_num_attr,joint_ent.mean,joint_ent.sd,mut_inf.mean,mut_inf.sd,ns_ratio
40981,Australian_40981.csv,0.038967032449029104,0.1008925346931619,1.8984507695284931,1.0399920683242911,0.07118395514214274,0.1411555510727459,0.9912308989033523,9.856004527649759,2.7891103977792615,1.0516284310402566,0.10057127065258349,0.11487015790614286,17.876670814735554
1447,CastMetal1_1447.csv,0.19094978974072246,0.1565145968667955,2.4309614048392394,0.3688102890065848,0.010172463110790264,0.004021099967612731,0.5531453183526465,15.67086242977135,2.948809028452266,0.35929615260235487,0.03529769473961985,0.017237300806149856,67.87025973712132
1446,CostaMadre1_1446.csv,0.19864988744838952,0.19752594079055588,2.4115574470510817,0.4008136344814364,0.011103207010295992,0.003656224035083879,0.5529740500544369,14.746498609775774,2.9270328294768615,0.39155636678116623,0.03749866762865718,0.01658173081514883,63.31048353323691
41430,DiabeticMellitus_41430.csv,0.03961433742802624,0.07383613827936515,0.776175928668286,0.5008129231308425,0.012737084475334602,0.0540077086812189,0.9361169611318012,60.84666721133006,1.6969080379415538,0.46446169753247774,0.01538485185853351,0.08386386355607914,49.45065989619945
4340,Engine1_4340.csv,0.0641358596250751,0.05406456853397833,2.8055707810813333,0.003764703310497273,0.04384924755273534,0.035365012305058084,0.9358519011792976,4.283800004668323,3.5229596587395884,0.18385671097881495,0.21846302352104247,0.1828638667421916,11.842314163115567
46116,German-Credit-Risk-with-Target_46116.csv,error,,,,,,,,,,,,
1448,KnuggetChase3_1448.csv,0.2503633210762084,0.17717481740361124,2.0681422841799666,0.4357104953167062,0.01906501144571664,0.023622962358294967,0.6921053253628725,16.684380178382316,2.718765377780965,0.43298675553997723,0.041482231761874044,0.01932905359228097,48.85609974053465
1441,KungChi3_1441.csv,0.2897850637915677,0.22434928575783084,1.7572880267545419,0.40503632246261184,0.03286932771026834,0.04722612323758654,0.5576611106650715,9.824100456005594,2.258184539667137,0.3970262103550321,0.05676459775247579,0.03391906239373772,29.957464622884565
40496,LED-display-domain-7digit_40496.csv,0.03955166472358566,0.043906423431920256,0.8785894823665015,0.10123629349066145,0.5681657119102904,0.08097077633463282,3.3123077024871854,7.848075615368265,3.768843694950893,0.0417308352193486,0.4220534899027929,0.10517043439913189,1.0817017354100251
43595,Loan-Predication_43595.csv,error,,,,,,,,,,,,
45557,Mammographic-Mass-Data-Set_45557.csv,0.5,0.0,0.0,0.0,0.500000005551115,0.0,0.9960589654112921,113511813.92029928,0.9960589566363556,0.0,8.774936555155932e-09,0.0,-1.0
1449,MeanWhile1_1449.csv,0.1297838911811968,0.1110720440208297,2.2589445496054554,0.6128650621485662,0.015491210638352385,0.009243310103743255,0.4899405783929423,10.475007662071407,2.7021127919583057,0.5972698954104316,0.046772336040092,0.02742838760122299,47.29659454403023
