ids;can_cor.mean;can_cor.sd;cor.mean;cor.sd;cov.mean;cov.sd;eigenvalues.mean;eigenvalues.sd;g_mean.mean;g_mean.sd;gravity;h_mean.mean;h_mean.sd;iq_range.mean;iq_range.sd;kurtosis.mean;kurtosis.sd;lh_trace;mad.mean;mad.sd;max.mean;max.sd;mean.mean;mean.sd;median.mean;median.sd;min.mean;min.sd;nr_cor_attr;nr_disc;nr_norm;nr_outliers;p_trace;range.mean;range.sd;roy_root;sd.mean;sd.sd;sd_ratio;skewness.mean;skewness.sd;sparsity.mean;sparsity.sd;t_mean.mean;t_mean.sd;var.mean;var.sd;w_lambda
45557;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;4.0;0;;;;;;;;;;0.14415446696696696;0.08917727394766335;15.742201039861351;26.959100333080535;;;
986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0020161290322580645;;23.0;7;;;;;;;;;;0.17638314967860422;0.020016591317600432;2.322159090909091;0.9100747974920113;;;
1008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;7.0;0;;;;;;;;;;0.248015873015873;0.0;;;;;
844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.027777777777777776;;2.0;2;;;;;;;;;;0.30255577214641544;0.18690598977505735;6.193152454780361;16.76402344000752;;;
327;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01818181818181818;;8.0;2;;;;;;;;;;0.19673828074434824;0.12952861628761714;;;;;
798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.02564102564102564;;2.0;4;;;;;;;;;;0.2395707881385913;0.18705871230694227;26.500672551492222;53.164347835784994;;;
786;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01282051282051282;;2.0;5;;;;;;;;;;0.22464297893141646;0.1981247454991764;45.108070617906684;79.2577816106445;;;
27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;21.0;1;;;;;;;;;;0.1667655423756823;0.12476047034095575;;;;;
944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;7.0;1;;;;;;;;;;0.15349542564143775;0.2204299489043669;;;;;
49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01282051282051282;;2.0;5;;;;;;;;;;0.22467448006982396;0.19808896690554903;45.07023959646911;79.16483130483684;;;
51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;9.0;1;;;;;;;;;;0.21615037184239624;0.17420070608701163;;;;;
55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;16.0;3;;;;;;;;;;0.2563357423169769;0.17888750449391788;;;;;
1073;0.5232699854205143;;0.3020346132193158;0.2967655320672391;2369.2340412021067;5783.427572903803;44478.1855214433;100201.92671097314;9.280137661016546;26.24819308179787;233.13284374879527;3.9436753099668285;11.154398217902017;37.46875;48.77800248868043;37.31970899280854;39.99583613157259;0.37705288532086534;18.9958125;26.34317045917689;985.125;2121.3390944333787;57.84899635036496;83.5558851496951;22.5625;28.73454553569374;0.375;1.0606601717798212;0.25;1.0;0.0;7;0.2738114776419852;984.75;2120.2873625997017;0.37705288532086534;112.53756290426864;190.6784352389003;1.2603308915666078;4.381651266149676;3.595677379641286;0.0338240179417643;0.04091881607522239;27.441265060240966;34.04690731239064;44478.18552144328;98678.73257399617;0.7261885223580148
1066;0.9114798365913477;;;;3216562.6922015613;108111675.44913504;453533882.5392625;4279105068.4227037;2.754711022308465;12.04665908605222;128468.47507908648;0.9140459371945278;2.5192243103167677;1031.3507923617021;6109.17404233223;11.134797679918076;14.5077426897432;4.910008042039934;564.5222283362169;3349.345268266227;27411.938437180852;206057.0692739275;1290.4663028382247;8306.189440931272;387.9318432340425;2266.960476427401;0.22340425531914893;0.41876046786207405;0.36902310684053996;1.0;9.0;81;0.8307954925125899;27411.71503292553;206057.09900582986;4.910008042039934;2999.2874289113674;21197.125693021626;;2.4436420041975304;1.8214554627291197;0.12649382465058456;0.28090999823683316;464.8699375426755;2710.5958591348585;453533882.5392626;4148654524.5170593;0.16920450748741012
1045;0.9410755623735665;;;;3216562.6922015613;108111675.44913504;453533882.5392625;4279105068.4227037;2.754711022308465;12.04665908605222;475483.6086745525;0.9140459371945278;2.5192243103167677;1031.3507923617021;6109.17404233223;11.134797679918076;14.5077426897432;7.743032881214765;564.5222283362169;3349.345268266227;27411.938437180852;206057.0692739275;1290.4663028382247;8306.189440931272;387.9318432340425;2266.960476427401;0.22340425531914893;0.41876046786207405;0.36902310684053996;1.0;9.0;81;0.8856232140967244;27411.71503292553;206057.09900582986;7.743032881214765;2999.2874289113674;21197.125693021626;;2.4436420041975304;1.8214554627291197;0.12649382465058456;0.28090999823683316;464.8699375426755;2710.5958591348585;453533882.5392626;4148654524.5170593;0.11437678590327562
1065;0.5374451269074139;;0.5770694818837563;0.3106523057763752;247505.61028716865;4372905.146207054;50723629.43109483;316749560.2818562;2.560178629506944;6.629878872900254;41173.1856518669;1.2521476985177213;2.726008672260075;203.51615384615386;1070.2834601536958;18.61885817608378;25.020900342044435;0.4061676908374139;50.867435769230774;244.51628541623842;16179.20153846154;93280.61627220304;395.4946411376106;2196.0142191166283;36.362692307692306;166.90222422458413;0.29435897435897435;0.5062233482096659;0.5614035087719298;1.0;0.0;36;0.2888472644365262;16178.90717948718;93280.66771476634;0.4061676908374139;1244.9923289626024;7104.0598432476145;;3.0808548835261225;2.2141058495375265;0.03398127489335103;0.04559321692311163;71.66558342623559;360.32108137840316;50723629.431094855;315567950.8381859;0.7111527355634738
807;0.5349483497478211;;0.008967306396379535;0.006644117324966743;0.00735480011065952;0.005452896672721956;0.8195542358110914;0.02713685681894167;;;0.9616876161645306;;;1.56008965625;0.014630558277685213;-1.1912900109470739;0.007730330562789949;0.4008932538868737;1.1567718705374999;0.01097049185136494;1.57053375;0.00021832659022665704;0.002472783554077148;0.011989348086665812;0.0025046875;0.01769209982881282;-1.570340125;0.0006054826734574027;0.0;1.0;0.0;0;0.28616973689791714;3.140873875;0.0007695338918554454;0.4008932538868737;0.9052814137850995;0.0047566694642335395;1.0144520816826326;-0.0024228063778874366;0.0146926840611357;1.735047398705136e-07;3.990667420875591e-08;0.0033402797243694015;0.014884390609937582;0.8195542358110913;0.008618997373121372;0.7138302631020829
1481;0.26962085576773037;0.21056465125024146;0.07202546691260957;0.11637366602793377;0.14075803244102902;0.13991633945690482;3.7701517266576037;2.300161984711532;1.5263427116787414;1.841639602773428;5.397548697571558;1.22567086614505;1.4461679292531178;2.8333333333333335;1.1690451944500122;-0.9703292070320005;0.3533478521389676;0.9414205999003248;2.4709999999999996;0.7656113478782821;6.166666666666667;2.136976056643281;3.4165953806672373;1.1672124644818935;3.5;1.224744871391589;0.5;0.5477225575051661;0.0;6.0;0.0;1;0.6578597969702187;5.666666666666667;2.0655911179772892;0.6424554310889138;1.8338125253032098;0.6990994338707514;;-0.056814617666565946;0.48488435123503715;0.16663696310818035;0.0645520232645371;3.4579026573205023;1.2147227531787428;3.770151726657607;2.249942077980848;0.4591963755034162
184;0.2696208593665555;0.21056465710695044;0.07202546691260957;0.11637366602793377;0.140758032441029;0.13991633945690482;3.770151726657604;2.3001619847115324;;;5.397548697571558;0.0;0.0;2.8333333333333335;1.1690451944500122;-0.9703292070320004;0.35334785213896747;0.9414206480458488;2.4709999999999996;0.7656113478782821;5.666666666666667;2.0655911179772892;2.916595380667237;1.197919493731063;3.0;1.2649110640673518;0.0;0.0;0.0;6.0;0.0;1;0.6578598209461973;5.666666666666667;2.0655911179772892;0.6424554670368543;1.8338125253032098;0.6990994338707514;;-0.05681461766656584;0.48488435123503715;0.16663696310818035;0.0645520232645371;2.9579026573205023;1.2944446721443645;3.770151726657607;2.249942077980848;0.45919636019673454
1003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;5.0;6;;;;;;;;;;0.42969021928297946;0.09904874594602128;;;;;
470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;2.0;3;;;;;;;;;;0.1368144258889213;0.17260177324150344;;;;;
42172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.017543859649122806;;1.0;8;;;;;;;;;;0.1787130088617208;0.10369585300098208;12.581104400345126;36.09045671411053;;;
934;0.6771491402830248;;0.07042627589677279;0.12064759000836946;3.8337142857142865;5.523198239166159;403.23960709267664;874.736613995057;;;58.50440760155016;0.0;0.0;6.0600000000000005;4.941457274934187;14.989068829958114;37.11110394112616;0.846827653617883;3.55824;2.641775210535522;156.06;330.0394188578086;6.7881487889273355;6.802462522768244;4.0;3.7914377220257753;0.0;0.0;0.0;1.0;0.0;1;0.45853095818603956;156.06;330.0394188578086;0.846827653617883;11.03218031499878;18.759351154491927;1.2360113263097716;1.4350107297707266;3.2087815402089257;0.2234162857626545;0.25312749929360745;4.323314121037464;3.7535815965178485;403.2396070926767;874.6161336854378;0.5414690418139605
42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;34.0;1;;;;;;;;;;0.2796596145789694;0.06961150684197258;0.6849496002780674;0.8019687589890835;;;
56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;16.0;0;;;;;;;;;;0.3317972350230415;0.0;;;;;
940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.009523809523809525;;29.0;4;;;;;;;;;;0.014218561919107963;0.022352124268223417;70.25242464072905;62.69070256452712;;;
