ids;attr_to_inst;cat_to_num;freq_class.mean;freq_class.sd;inst_to_attr;nr_attr;nr_bin;nr_cat;nr_class;nr_inst;nr_num;num_to_cat
986;0.08791208791208792;0.0;0.5;0.26030854032691586;11.375;32;0;0;2;364;32;
1008;0.018469656992084433;0.0;0.5;0.09888300634007131;54.142857142857146;7;0;0;2;379;7;
844;0.03146853146853147;0.0;0.5;0.11373046130972442;31.77777777777778;9;3;0;2;286;9;
327;0.10476190476190476;0.0;0.16666666666666666;0.12530235541325166;9.545454545454545;11;0;0;6;105;11;
798;0.0429042904290429;0.0;0.5;0.06767688664821742;23.307692307692307;13;3;0;2;303;13;
786;0.0429042904290429;0.0;0.5;0.058342143662256395;23.307692307692307;13;3;0;2;303;13;
27;0.059782608695652176;0.0;0.5;0.18446263857040374;16.727272727272727;22;1;0;2;368;22;
944;0.06923076923076923;0.0;0.5;0.010878565864408385;14.444444444444445;9;2;0;2;130;9;
49;0.0429042904290429;0.0;0.5;0.06300951515523692;23.307692307692307;13;3;0;2;303;13;
51;0.04421768707482993;0.0;0.5;0.1972202586982888;22.615384615384617;13;2;0;2;294;13;
55;0.12258064516129032;0.0;0.5;0.41514011024500536;8.157894736842104;19;3;0;2;155;19;
1073;0.029197080291970802;0.0;0.5;0.015484090098975514;34.25;8;0;0;2;274;8;
1066;0.6482758620689655;0.0;0.5;0.12191496227354263;1.5425531914893618;94;2;0;2;145;94;
1045;0.6482758620689655;0.0;0.5;0.6290812053314802;1.5425531914893618;94;2;0;2;145;94;
1065;0.0851528384279476;0.0;0.5;0.5743312720554491;11.743589743589743;39;0;0;2;458;39;
807;0.0009765625;0.0;0.5;0.01242961138804478;1024.0;8;0;0;2;8192;8;
1481;0.000213857998289136;0.0;0.05555555555555555;0.05357692658225767;4676.0;6;0;0;18;28056;6;
184;0.000213857998289136;0.0;0.05555555555555555;0.05357692658225766;4676.0;6;0;0;18;28056;6;
1003;0.05014749262536873;0.0;0.5;0.35668218166047083;19.941176470588236;17;11;0;2;339;17;
470;0.013392857142857142;0.0;0.5;0.23570226039551584;74.66666666666667;9;1;0;2;672;9;
42172;0.09405940594059406;0.0;0.5;0.42006343436824606;10.631578947368421;19;1;0;2;202;19;
934;0.004325259515570935;0.0;0.5;0.3939245390001182;231.2;5;2;0;2;1156;5;
42;0.05124450951683748;0.0;0.05263157894736842;0.04423584687202481;19.514285714285716;35;1;0;19;683;35;
56;0.0367816091954023;0.0;0.5;0.16092775020107633;27.1875;16;0;0;2;435;16;
940;0.0683111954459203;0.0;0.5;0.4924254054942371;14.63888888888889;36;0;0;2;527;36;
