ids;c1;c2;cls_coef;density;f1.mean;f1.sd;f1v.mean;f1v.sd;f2.mean;f2.sd;f3.mean;f3.sd;f4.mean;f4.sd;hubs.mean;hubs.sd;l1.mean;l1.sd;l2.mean;l2.sd;l3.mean;l3.sd;lsc;n1;n2.mean;n2.sd;n3.mean;n3.sd;n4.mean;n4.sd;t1.mean;t1.sd;t2;t3;t4
1473;0.5293608652873644;0.7322515212981744;0.7616666675069445;0.9947474747474747;0.9874257707864841;0.012225393720896465;0.4439552078525072;;0.3838297872340426;;0.98;;0.95;;0.98008629914712;0.09849085748650108;0.10713397610138808;;0.12;;0.12;;0.8987;0.27;0.3689593757963462;0.17197319302967876;0.17;0.3775251680686369;0.12;0.3265986323710904;0.017857142857142856;0.052213348544541426;0.09;0.06;0.6666666666666666
285;0.848779914618269;0.0972272386027615;0.9175257734679267;0.9988248490999413;0.8894045454729061;0.0848282589145683;0.07251657689899124;0.06539905598293831;;;2.272928054324399;1.7823468587851024;0.027142857142857142;0.1436264997435064;0.9898367723671948;0.07125672436198034;0.012484682235136019;0.03358563410490956;0.01329114548703182;0.034810754640761166;0.03903904587699409;0.056413182578947674;0.9888139015835902;0.6958762886597938;0.49537510412839864;0.15036682071404112;0.5670103092783505;0.49677126427797647;0.26288659793814434;0.44134030145086356;0.013333333333333332;0.07082956910676852;0.14432989690721648;0.005154639175257732;0.03571428571428571
904;0.99971144175281;0.000799680127948954;1.0;1.0;0.9891541255512415;0.03747097947505854;0.20937383252486846;;0.7920177240154028;;0.982;;0.767;;0.999;0.03162277660168379;0.12125370208033359;;0.14800000000000002;;0.14400000000000002;;0.997229;0.528;0.4948420870864138;0.015806581785411975;0.363;0.481105458774334;0.006;0.07726558075864033;0.0021786492374727675;0.025018305558502922;0.05;0.047;0.94
888;0.9995844639313985;0.0011513368299860272;1.0;1.0;0.9874214137082946;0.03800355901326584;0.16315665812936292;;0.6184590611674492;;0.946;;0.348;;0.998;0.044721359549995794;0.10146292874796325;;0.126;;0.09999999999999998;;0.994768;0.542;0.49551000105011717;0.014615948927151913;0.392;0.48868561187588594;0.004;0.06318214912406725;0.006535947712418301;0.05497080877776367;0.1;0.092;0.92
837;0.9936167534536142;0.017517217862963008;1.0;1.0;0.9946789325590994;0.016003107344782677;0.4776160543681412;;0.7490078943484004;;0.987;;0.748;;0.999;0.03162277660168379;0.16459824642893972;;0.29500000000000004;;0.261;;0.99754;0.59;0.4977590412228533;0.01672237429908174;0.431;0.4954639083570916;0.009;0.09448771310560929;0.004081632653061226;0.04607292719455037;0.05;0.046;0.92
766;0.9983373765218819;0.004597407572951906;1.0;1.0;0.9943787955363763;0.012216334403424569;0.46475004426103167;;0.5750204626497329;;0.97;;0.496;;0.998;0.044721359549995794;0.1741308019401453;;0.278;;0.248;;0.995508;0.632;0.49829483489602316;0.015275661120053186;0.434;0.49612122767030464;0.006;0.07730428127734981;0.0049504950495049506;0.0408068807576203;0.1;0.09;0.9
866;0.9805107178796569;0.052383104033904226;1.0;1.0;0.9918558965898066;0.026358346055117856;0.39965421727359624;;0.654763239365471;;0.986;;0.779;;0.999;0.03162277660168379;0.1567256821945694;;0.264;;0.22399999999999998;;0.997415;0.562;0.4976615711786317;0.01711867651439313;0.432;0.49560228169533455;0.013;0.11333068359382573;0.002169197396963124;0.024544936722311055;0.05;0.045;0.9
920;0.9765004687578241;0.06276636962417659;1.0;1.0;0.9894893208268531;0.033844414163668686;0.3291563946217243;;0.5150471648018935;;0.974;;0.506;;0.998;0.044721359549995794;0.16040157299232471;;0.23199999999999998;;0.16600000000000004;;0.994768;0.586;0.49749860203243323;0.017048036807985754;0.43;0.4955715713847289;0.004;0.06318214912406725;0.005434782608695652;0.045704994728386975;0.1;0.088;0.88
806;0.9912540071703688;0.023910680762770475;1.0;1.0;0.9950046627315733;0.016391301826524828;0.45588768587258194;;0.3729030877150647;;0.956;;0.726;;0.999;0.03162277660168379;0.16658689785068992;;0.28;;0.29500000000000004;;0.997534;0.579;0.4967458653689565;0.016541870119164102;0.414;0.49279493386889334;0.01;0.0995485304256668;0.0020790020790020796;0.023481774755515092;0.05;0.044;0.88
937;0.9881489563064276;0.03223978338895539;1.0;1.0;0.9947610779863615;0.01857058358313636;0.4104633598385495;;0.24181628708397468;;0.956;;0.456;;0.998;0.044721359549995794;0.16233992009808162;;0.28;;0.266;;0.99536;0.616;0.4992824447142644;0.016923313400924005;0.472;0.4997153498360075;0.008;0.08917344788453134;0.0043478260869565235;0.035606545563372505;0.1;0.088;0.88
797;0.9895875212220555;0.028391167192429068;1.0;1.0;0.9956255472588499;0.01461833342895354;0.479887474624437;;0.376520161862302;;0.979;;0.76;;0.999;0.03162277660168379;0.16029970592690945;;0.31000000000000005;;0.29600000000000004;;0.997652;0.599;0.49822359895310264;0.016606795235619524;0.464;0.49895185434363604;0.009;0.09448771310560929;0.0030674846625766876;0.036386748024623695;0.05;0.044;0.88
